epoch,time(s),train_loss,test_loss,test_error(%)
001,00098,0.310473,0.50760,16.13
002,00079,0.343945,0.63696,20.00
003,00079,0.343713,0.37182,12.03
004,00080,0.409936,0.89041,26.93
005,00082,0.357464,0.50110,16.83
006,00083,0.412858,0.64923,21.03
007,00080,0.361763,0.50709,16.44
008,00078,0.367241,0.52668,16.59
009,00080,0.415202,0.55319,18.28
010,00079,0.423517,0.56419,18.43
011,00080,0.352588,0.61700,18.50
012,00079,0.447840,0.60644,19.90
013,00079,0.386922,0.50058,16.03
014,00081,0.341801,0.55211,17.73
015,00080,0.412240,0.46543,15.44
016,00080,0.414506,0.61896,19.87
017,00079,0.467326,0.50203,16.27
018,00081,0.351326,0.44360,14.68
019,00081,0.333129,0.48324,16.09
020,00078,0.376461,0.57856,17.94
021,00081,0.428431,0.66049,20.63
022,00081,0.399804,0.65737,20.89
023,00079,0.357142,0.62345,18.74
024,00081,0.387624,0.54935,17.83
025,00079,0.374082,0.56005,17.60
026,00084,0.394450,0.43258,14.66
027,00082,0.423640,0.66021,21.49
028,00082,0.343733,0.61107,19.29
029,00078,0.371957,0.45668,14.74
030,00080,0.311986,0.40033,13.23
031,00079,0.376054,0.43870,14.21
032,00078,0.289084,0.44479,14.37
033,00078,0.339529,0.45512,15.08
034,00080,0.368438,0.47637,15.48
035,00085,0.361579,0.54726,18.16
036,00083,0.344728,0.49039,15.48
037,00082,0.335872,0.37150,12.20
038,00080,0.298978,0.36111,11.66
039,00080,0.303378,0.40361,12.85
040,00078,0.314373,0.44119,14.29
041,00078,0.338865,0.43249,14.40
042,00078,0.319336,0.41070,13.51
043,00078,0.281257,0.37533,12.43
044,00079,0.291240,0.42022,13.09
045,00080,0.295780,0.41679,13.53
046,00078,0.320086,0.33979,10.98
047,00081,0.276400,0.38428,12.27
048,00084,0.247674,0.36566,11.52
049,00078,0.229887,0.40516,12.65
050,00079,0.258857,0.36386,12.04
051,00078,0.241392,0.33537,10.80
052,00078,0.262383,0.35804,11.54
053,00083,0.267777,0.29500,9.41
054,00084,0.240071,0.44599,13.94
055,00083,0.233465,0.31840,10.28
056,00078,0.261834,0.32879,10.44
057,00081,0.237833,0.32377,10.44
058,00078,0.190237,0.28586,9.18
059,00079,0.212278,0.33133,10.40
060,00077,0.210136,0.31790,9.80
061,00077,0.183969,0.27823,8.78
062,00077,0.165266,0.30154,9.37
063,00077,0.188010,0.26095,8.53
064,00077,0.197679,0.27193,8.47
065,00079,0.159524,0.31658,9.66
066,00079,0.148837,0.29184,9.27
067,00078,0.187919,0.26153,8.13
068,00079,0.146082,0.27082,8.19
069,00085,0.201279,0.28485,8.72
070,00078,0.168498,0.27751,8.57
071,00080,0.148083,0.28392,8.59
072,00078,0.136075,0.21133,6.44
073,00079,0.129851,0.23198,6.80
074,00078,0.126810,0.23038,6.88
075,00080,0.116891,0.23028,6.67
076,00077,0.095190,0.23806,7.05
077,00078,0.114970,0.25880,7.13
078,00078,0.072032,0.22004,6.29
079,00078,0.077247,0.20867,5.88
080,00078,0.056453,0.23584,6.26
081,00078,0.067295,0.21741,5.85
082,00079,0.058350,0.20425,5.72
083,00085,0.048108,0.20590,5.56
084,00087,0.050450,0.21584,5.44
085,00087,0.043678,0.21577,5.52
086,00088,0.041228,0.19139,4.62
087,00081,0.050375,0.21470,5.38
088,00084,0.043719,0.19673,4.61
089,00080,0.033775,0.19664,4.69
090,00080,0.046877,0.19512,4.54
091,00081,0.034687,0.19621,4.68
092,00080,0.035227,0.18810,4.39
093,00080,0.032746,0.18758,4.44
094,00080,0.033138,0.18547,4.40
095,00081,0.033096,0.18516,4.26
096,00081,0.032466,0.18509,4.18
097,00081,0.033970,0.18634,4.29
098,00080,0.034007,0.18729,4.30
099,00081,0.032230,0.18657,4.27
100,00080,0.032217,0.18571,4.29
